[2025-11-11T12:33:36.774692+01:00] Log.ERROR: PDOException: SQLSTATE[42000]: Syntax error or access violation: 1253 COLLATION 'utf8mb4_bin' is not valid for CHARACTER SET 'utf8mb3'  			SELECT 				* 			FROM 				`language_data` 			WHERE 				`active` = 1  AND 				 `file_id` = 217 AND  				`code` COLLATE utf8mb4_bin = 'E-Mail Layouts' 		 ["MVC_Controller::run(64) > MVC_Controller::runMiddleware(229) > MVC_Controller::{closure}(337) > Core\\Middleware\\AbstractInterface::handle(328) > MVC_Controller::{closure}(33) > MVC_Controller::{closure}(311) > Core\\Middleware\\Auth\\BackendAuth::handle(328) > MVC_Controller::{closure}(41) > MVC_Controller::{closure}(311) > Admin\\Http\\Middleware\\HandleHeadRequests::handle(328) > MVC_Controller::{closure}(19) > MVC_Controller::{closure}(311) > Admin\\Http\\Middleware\\ErrorHandling::handle(328) > MVC_Controller::{closure}(25) > MVC_Controller::{closure}(311) > Inertia\\Middleware::handle(328) > Admin\\Http\\Middleware\\HandleBackendInertiaRequests::share(89) > Admin\\Components\\NavigationComponent::init(53) > Admin\\Components\\NavigationComponent::buildJsStructure(50) > Admin\\Components\\NavigationComponent::getBaseNodes(124) > Admin\\Helper\\Navigation::get(260) > webdynamics::executeHook(176) > thebing_backend::executeHook(218) > Ext_TC_System_Navigation::getLeftNavigation(57) > Ext_TC_System_Navigation_TopItem::getChildArray(572) > Ext_TC_System_Navigation_LeftItem::getArray(118) > Ext_TC_System_Navigation_Item_Abstract::generateTitle(27) > L10N::t(33) > L10N::translate(638) > L10N::_insertData(590)"] []
[2025-11-11T12:33:44.343451+01:00] Log.ERROR: PDOException: SQLSTATE[42000]: Syntax error or access violation: 1253 COLLATION 'utf8mb4_bin' is not valid for CHARACTER SET 'utf8mb3'  			SELECT 				* 			FROM 				`language_data` 			WHERE 				`active` = 1  AND 				 `file_id` = 217 AND  				`code` COLLATE utf8mb4_bin = 'E-Mail Layouts' 		 ["MVC_Controller::run(64) > MVC_Controller::runMiddleware(229) > MVC_Controller::{closure}(337) > Core\\Middleware\\AbstractInterface::handle(328) > MVC_Controller::{closure}(33) > MVC_Controller::{closure}(311) > Core\\Middleware\\Auth\\BackendAuth::handle(328) > MVC_Controller::{closure}(41) > MVC_Controller::{closure}(311) > Admin\\Http\\Middleware\\HandleHeadRequests::handle(328) > MVC_Controller::{closure}(19) > MVC_Controller::{closure}(311) > Admin\\Http\\Middleware\\ErrorHandling::handle(328) > MVC_Controller::{closure}(25) > MVC_Controller::{closure}(311) > MVC_Controller::{closure}(315) > Illuminate\\Container\\Container::call(408) > Illuminate\\Container\\BoundMethod::call(836) > Illuminate\\Container\\BoundMethod::callBoundMethod(35) > Illuminate\\Container\\Util::unwrapIfClosure(96) > Illuminate\\Container\\BoundMethod::Illuminate\\Container\\{closure}(43) > Admin\\Http\\Controller\\ResourceController::outputLegacyFile(36) > Core\\Controller\\Vendor\\ResourceAbstractController::_printFile(29) > require(131) > Ext_Gui2_Factory::createGui(6) > Ext_Gui2_Factory::_createGuiObject(80) > Ext_Thebing_Gui2::__construct(1585) > Ext_TC_Gui2::__construct(17) > Factory::executeStatic(26) > Ext_TC_System_Navigation::tp(133) > Ext_TC_System_Navigation::getIndex(426) > Ext_TC_System_Navigation_Item_Abstract::generateTitle(482) > L10N::t(33) > L10N::translate(638) > L10N::_insertData(590)"] []
[2025-11-11T12:35:42.465132+01:00] Log.ERROR: PDOException: SQLSTATE[42000]: Syntax error or access violation: 1253 COLLATION 'utf8mb4_bin' is not valid for CHARACTER SET 'utf8mb3'  			SELECT 				* 			FROM 				`language_data` 			WHERE 				`active` = 1  AND 				 `file_id` = 6 AND  				`code` COLLATE utf8mb4_bin = 'Niveau' 		 ["MVC_Controller::run(64) > MVC_Controller::runMiddleware(229) > MVC_Controller::{closure}(337) > Admin\\Http\\Middleware\\HandleHeadRequests::handle(328) > MVC_Controller::{closure}(19) > MVC_Controller::{closure}(311) > MVC_Controller::{closure}(315) > Illuminate\\Container\\Container::call(408) > Illuminate\\Container\\BoundMethod::call(836) > Illuminate\\Container\\BoundMethod::callBoundMethod(35) > Illuminate\\Container\\Util::unwrapIfClosure(96) > Illuminate\\Container\\BoundMethod::Illuminate\\Container\\{closure}(43) > Gui2\\Controller\\RequestController::handle(36) > Ext_Gui2::switchAjaxRequest(60) > Ext_TS_Inquiry_Index_Gui2_Data::switchAjaxRequest(2194) > Ext_Thebing_Inquiry_Gui2::switchAjaxRequest(48) > Ext_Thebing_Document_Gui2::switchAjaxRequest(1083) > Ext_Thebing_Gui2_Data::switchAjaxRequest(547) > Ext_TC_Gui2_Data::switchAjaxRequest(1207) > Ext_Gui2_Data::_switchAjaxRequest(2134) > Ext_TC_Gui2_Data::prepareOpenDialog(3630) > Ext_Gui2_Data::prepareOpenDialog(1128) > Ext_Thebing_Inquiry_Gui2::getEditDialogHTML(1881) > Ext_Thebing_Inquiry_Gui2_Html::getTuitionTabHtml(540) > Ext_Thebing_Tuition_ProgressReport::getDialogHtml(2206) > Ext_Thebing_Tuition_ProgressReport::_getAllocationHtml(572) > Ext_Thebing_Tuition_ProgressReport::t(395) > L10N::t(582) > L10N::translate(638) > L10N::_insertData(590)"] []
[2025-11-11T12:36:14.552206+01:00] Log.ERROR: PDOException: SQLSTATE[42000]: Syntax error or access violation: 1253 COLLATION 'utf8mb4_bin' is not valid for CHARACTER SET 'utf8mb3'  			SELECT 				* 			FROM 				`language_data` 			WHERE 				`active` = 1  AND 				 `file_id` = 6 AND  				`code` COLLATE utf8mb4_bin = 'Bereich' 		 ["MVC_Controller::run(64) > MVC_Controller::runMiddleware(229) > MVC_Controller::{closure}(337) > Core\\Middleware\\AbstractInterface::handle(328) > MVC_Controller::{closure}(33) > MVC_Controller::{closure}(311) > Core\\Middleware\\Auth\\BackendAuth::handle(328) > MVC_Controller::{closure}(41) > MVC_Controller::{closure}(311) > Admin\\Http\\Middleware\\HandleHeadRequests::handle(328) > MVC_Controller::{closure}(19) > MVC_Controller::{closure}(311) > Admin\\Http\\Middleware\\ErrorHandling::handle(328) > MVC_Controller::{closure}(25) > MVC_Controller::{closure}(311) > MVC_Controller::{closure}(315) > Illuminate\\Container\\Container::call(408) > Illuminate\\Container\\BoundMethod::call(836) > Illuminate\\Container\\BoundMethod::callBoundMethod(35) > Illuminate\\Container\\Util::unwrapIfClosure(96) > Illuminate\\Container\\BoundMethod::Illuminate\\Container\\{closure}(43) > Admin\\Http\\Controller\\ResourceController::outputLegacyFile(36) > Core\\Controller\\Vendor\\ResourceAbstractController::_printFile(29) > require(131) > Ext_Gui2_Factory::createGui(6) > Ext_Gui2_Factory::_addBars(86) > Ext_Gui2_Factory::_addElementToBar(609) > Ext_Gui2_Factory::_createIcon(727) > Ext_Gui2_Factory::_createIndividualIcon(849) > Ext_Gui2_Factory::_callIconDialog(964) > Gui2\\Factory\\DialogFactory::create(920) > Ext_Gui2_Config_Parser::callMethod(27) > Factory::executeStatic(739) > TsComplaints\\Gui2\\Data\\Complaint::getComplaintDialog(138) > Ext_Gui2_Factory::createGui(169) > Ext_Gui2_Factory::_addBars(86) > Ext_Gui2_Factory::_addElementToBar(609) > Ext_Gui2_Factory::_createSelectFilter(681) > Ext_Gui2::t(1132) > L10N::t(2476) > L10N::translate(638) > L10N::_insertData(590)"] []
[2025-11-11T12:36:28.943926+01:00] Log.ERROR: PDOException: SQLSTATE[42000]: Syntax error or access violation: 1253 COLLATION 'utf8mb4_bin' is not valid for CHARACTER SET 'utf8mb3'  			SELECT 				* 			FROM 				`language_data` 			WHERE 				`active` = 1  AND 				 `file_id` = 6 AND  				`code` COLLATE utf8mb4_bin = 'Diese Leistung wurde durch %s verschoben.' 		 ["MVC_Controller::run(64) > MVC_Controller::runMiddleware(229) > MVC_Controller::{closure}(337) > Admin\\Http\\Middleware\\HandleHeadRequests::handle(328) > MVC_Controller::{closure}(19) > MVC_Controller::{closure}(311) > MVC_Controller::{closure}(315) > Illuminate\\Container\\Container::call(408) > Illuminate\\Container\\BoundMethod::call(836) > Illuminate\\Container\\BoundMethod::callBoundMethod(35) > Illuminate\\Container\\Util::unwrapIfClosure(96) > Illuminate\\Container\\BoundMethod::Illuminate\\Container\\{closure}(43) > Gui2\\Controller\\RequestController::handle(36) > Ext_Gui2::switchAjaxRequest(60) > Ext_TS_Inquiry_Index_Gui2_Data::switchAjaxRequest(2194) > Ext_Thebing_Inquiry_Gui2::switchAjaxRequest(48) > Ext_Thebing_Document_Gui2::switchAjaxRequest(1083) > Ext_Thebing_Gui2_Data::switchAjaxRequest(547) > Ext_TC_Gui2_Data::switchAjaxRequest(1265) > Ext_Gui2_Data::_switchAjaxRequest(2134) > Ext_TS_Inquiry_Index_Gui2_Data::saveDialogData(3442) > Ext_Thebing_Inquiry_Gui2::saveDialogData(2708) > Ext_Thebing_Gui2_Data::saveDialogData(809) > Ext_TC_Gui2_Data::saveDialogData(545) > Ext_TC_Gui2_Data::_saveDialogData(1042) > Ext_Thebing_Inquiry_Gui2::saveEditDialogData(1000) > Ext_TS_Inquiry_Saver::getRequestData(602) > Ext_TC_Gui2_Data::prepareOpenDialog(161) > Ext_Gui2_Data::prepareOpenDialog(1128) > Ext_Thebing_Inquiry_Gui2::getEditDialogHTML(1881) > Ext_Thebing_Inquiry_Gui2_Html::getCourseTabHTML(339) > Ext_Thebing_Inquiry_Gui2_Html::getServiceHolidayNotifications(1382) > L10N::t(2690) > L10N::translate(638) > L10N::_insertData(590)"] []
[2025-11-11T12:36:36.263248+01:00] Log.ERROR: PDOException: SQLSTATE[42000]: Syntax error or access violation: 1253 COLLATION 'utf8mb4_bin' is not valid for CHARACTER SET 'utf8mb3'  			SELECT 				* 			FROM 				`language_data` 			WHERE 				`active` = 1  AND 				 `file_id` = 6 AND  				`code` COLLATE utf8mb4_bin = 'Diese Leistung wurde durch %s verschoben.' 		 ["MVC_Controller::run(64) > MVC_Controller::runMiddleware(229) > MVC_Controller::{closure}(337) > Admin\\Http\\Middleware\\HandleHeadRequests::handle(328) > MVC_Controller::{closure}(19) > MVC_Controller::{closure}(311) > MVC_Controller::{closure}(315) > Illuminate\\Container\\Container::call(408) > Illuminate\\Container\\BoundMethod::call(836) > Illuminate\\Container\\BoundMethod::callBoundMethod(35) > Illuminate\\Container\\Util::unwrapIfClosure(96) > Illuminate\\Container\\BoundMethod::Illuminate\\Container\\{closure}(43) > Gui2\\Controller\\RequestController::handle(36) > Ext_Gui2::switchAjaxRequest(60) > Ext_TS_Inquiry_Index_Gui2_Data::switchAjaxRequest(2194) > Ext_Thebing_Inquiry_Gui2::switchAjaxRequest(48) > Ext_Thebing_Document_Gui2::switchAjaxRequest(1083) > Ext_Thebing_Gui2_Data::switchAjaxRequest(547) > Ext_TC_Gui2_Data::switchAjaxRequest(1265) > Ext_Gui2_Data::_switchAjaxRequest(2134) > Ext_TS_Inquiry_Index_Gui2_Data::saveDialogData(3442) > Ext_Thebing_Inquiry_Gui2::saveDialogData(2708) > Ext_Thebing_Gui2_Data::saveDialogData(809) > Ext_TC_Gui2_Data::saveDialogData(545) > Ext_TC_Gui2_Data::_saveDialogData(1042) > Ext_Thebing_Inquiry_Gui2::saveEditDialogData(1000) > Ext_TS_Inquiry_Saver::getRequestData(602) > Ext_TC_Gui2_Data::prepareOpenDialog(161) > Ext_Gui2_Data::prepareOpenDialog(1128) > Ext_Thebing_Inquiry_Gui2::getEditDialogHTML(1881) > Ext_Thebing_Inquiry_Gui2_Html::getCourseTabHTML(339) > Ext_Thebing_Inquiry_Gui2_Html::getServiceHolidayNotifications(1382) > L10N::t(2690) > L10N::translate(638) > L10N::_insertData(590)"] []
[2025-11-11T12:36:46.783682+01:00] Log.ERROR: PDOException: SQLSTATE[42000]: Syntax error or access violation: 1253 COLLATION 'utf8mb4_bin' is not valid for CHARACTER SET 'utf8mb3'  			SELECT 				* 			FROM 				`language_data` 			WHERE 				`active` = 1  AND 				 `file_id` = 6 AND  				`code` COLLATE utf8mb4_bin = 'Diese Leistung wurde durch %s verschoben.' 		 ["MVC_Controller::run(64) > MVC_Controller::runMiddleware(229) > MVC_Controller::{closure}(337) > Admin\\Http\\Middleware\\HandleHeadRequests::handle(328) > MVC_Controller::{closure}(19) > MVC_Controller::{closure}(311) > MVC_Controller::{closure}(315) > Illuminate\\Container\\Container::call(408) > Illuminate\\Container\\BoundMethod::call(836) > Illuminate\\Container\\BoundMethod::callBoundMethod(35) > Illuminate\\Container\\Util::unwrapIfClosure(96) > Illuminate\\Container\\BoundMethod::Illuminate\\Container\\{closure}(43) > Gui2\\Controller\\RequestController::handle(36) > Ext_Gui2::switchAjaxRequest(60) > Ext_TS_Inquiry_Index_Gui2_Data::switchAjaxRequest(2194) > Ext_Thebing_Inquiry_Gui2::switchAjaxRequest(48) > Ext_Thebing_Document_Gui2::switchAjaxRequest(1083) > Ext_Thebing_Gui2_Data::switchAjaxRequest(547) > Ext_TC_Gui2_Data::switchAjaxRequest(1265) > Ext_Gui2_Data::_switchAjaxRequest(2134) > Ext_TS_Inquiry_Index_Gui2_Data::saveDialogData(3442) > Ext_Thebing_Inquiry_Gui2::saveDialogData(2708) > Ext_Thebing_Gui2_Data::saveDialogData(809) > Ext_TC_Gui2_Data::saveDialogData(545) > Ext_TC_Gui2_Data::_saveDialogData(1042) > Ext_Thebing_Inquiry_Gui2::saveEditDialogData(1000) > Ext_TS_Inquiry_Saver::getRequestData(602) > Ext_TC_Gui2_Data::prepareOpenDialog(161) > Ext_Gui2_Data::prepareOpenDialog(1128) > Ext_Thebing_Inquiry_Gui2::getEditDialogHTML(1881) > Ext_Thebing_Inquiry_Gui2_Html::getCourseTabHTML(339) > Ext_Thebing_Inquiry_Gui2_Html::getServiceHolidayNotifications(1382) > L10N::t(2690) > L10N::translate(638) > L10N::_insertData(590)"] []
[2025-11-11T12:37:07.643577+01:00] Log.ERROR: PDOException: SQLSTATE[42000]: Syntax error or access violation: 1253 COLLATION 'utf8mb4_bin' is not valid for CHARACTER SET 'utf8mb3'  			SELECT 				* 			FROM 				`language_data` 			WHERE 				`active` = 1  AND 				 `file_id` = 6 AND  				`code` COLLATE utf8mb4_bin = 'Bereich' 		 ["MVC_Controller::run(64) > MVC_Controller::runMiddleware(229) > MVC_Controller::{closure}(337) > Core\\Middleware\\AbstractInterface::handle(328) > MVC_Controller::{closure}(33) > MVC_Controller::{closure}(311) > Core\\Middleware\\Auth\\BackendAuth::handle(328) > MVC_Controller::{closure}(41) > MVC_Controller::{closure}(311) > Admin\\Http\\Middleware\\HandleHeadRequests::handle(328) > MVC_Controller::{closure}(19) > MVC_Controller::{closure}(311) > Admin\\Http\\Middleware\\ErrorHandling::handle(328) > MVC_Controller::{closure}(25) > MVC_Controller::{closure}(311) > MVC_Controller::{closure}(315) > Illuminate\\Container\\Container::call(408) > Illuminate\\Container\\BoundMethod::call(836) > Illuminate\\Container\\BoundMethod::callBoundMethod(35) > Illuminate\\Container\\Util::unwrapIfClosure(96) > Illuminate\\Container\\BoundMethod::Illuminate\\Container\\{closure}(43) > Admin\\Http\\Controller\\ResourceController::outputLegacyFile(36) > Core\\Controller\\Vendor\\ResourceAbstractController::_printFile(29) > require(131) > Ext_Gui2_Factory::createGui(6) > Ext_Gui2_Factory::_addBars(86) > Ext_Gui2_Factory::_addElementToBar(609) > Ext_Gui2_Factory::_createIcon(727) > Ext_Gui2_Factory::_createIndividualIcon(849) > Ext_Gui2_Factory::_callIconDialog(964) > Gui2\\Factory\\DialogFactory::create(920) > Ext_Gui2_Config_Parser::callMethod(27) > Factory::executeStatic(739) > TsComplaints\\Gui2\\Data\\Complaint::getComplaintDialog(138) > Ext_Gui2_Factory::createGui(169) > Ext_Gui2_Factory::_addBars(86) > Ext_Gui2_Factory::_addElementToBar(609) > Ext_Gui2_Factory::_createSelectFilter(681) > Ext_Gui2::t(1132) > L10N::t(2476) > L10N::translate(638) > L10N::_insertData(590)"] []
[2025-11-11T12:37:14.814559+01:00] Log.ERROR: PDOException: SQLSTATE[42000]: Syntax error or access violation: 1253 COLLATION 'utf8mb4_bin' is not valid for CHARACTER SET 'utf8mb3'  			SELECT 				* 			FROM 				`language_data` 			WHERE 				`active` = 1  AND 				 `file_id` = 6 AND  				`code` COLLATE utf8mb4_bin = 'Diese Leistung wurde durch %s verschoben.' 		 ["MVC_Controller::run(64) > MVC_Controller::runMiddleware(229) > MVC_Controller::{closure}(337) > Admin\\Http\\Middleware\\HandleHeadRequests::handle(328) > MVC_Controller::{closure}(19) > MVC_Controller::{closure}(311) > MVC_Controller::{closure}(315) > Illuminate\\Container\\Container::call(408) > Illuminate\\Container\\BoundMethod::call(836) > Illuminate\\Container\\BoundMethod::callBoundMethod(35) > Illuminate\\Container\\Util::unwrapIfClosure(96) > Illuminate\\Container\\BoundMethod::Illuminate\\Container\\{closure}(43) > Gui2\\Controller\\RequestController::handle(36) > Ext_Gui2::switchAjaxRequest(60) > Ext_TS_Inquiry_Index_Gui2_Data::switchAjaxRequest(2194) > Ext_Thebing_Inquiry_Gui2::switchAjaxRequest(48) > Ext_Thebing_Document_Gui2::switchAjaxRequest(1083) > Ext_Thebing_Gui2_Data::switchAjaxRequest(547) > Ext_TC_Gui2_Data::switchAjaxRequest(1207) > Ext_Gui2_Data::_switchAjaxRequest(2134) > Ext_TC_Gui2_Data::prepareOpenDialog(3630) > Ext_Gui2_Data::prepareOpenDialog(1128) > Ext_Thebing_Inquiry_Gui2::getEditDialogHTML(1881) > Ext_Thebing_Inquiry_Gui2_Html::getCourseTabHTML(339) > Ext_Thebing_Inquiry_Gui2_Html::getServiceHolidayNotifications(1382) > L10N::t(2690) > L10N::translate(638) > L10N::_insertData(590)"] []
[2025-11-11T12:37:53.114528+01:00] Log.ERROR: PDOException: SQLSTATE[42000]: Syntax error or access violation: 1253 COLLATION 'utf8mb4_bin' is not valid for CHARACTER SET 'utf8mb3'  			SELECT 				* 			FROM 				`language_data` 			WHERE 				`active` = 1  AND 				 `file_id` = 251 AND  				`code` COLLATE utf8mb4_bin = 'Laden der Navigation fehlgeschlagen.' 		 ["MVC_Controller::run(64) > MVC_Controller::runMiddleware(229) > MVC_Controller::{closure}(337) > Core\\Middleware\\AbstractInterface::handle(328) > MVC_Controller::{closure}(33) > MVC_Controller::{closure}(311) > Core\\Middleware\\Auth\\BackendAuth::handle(328) > MVC_Controller::{closure}(41) > MVC_Controller::{closure}(311) > Admin\\Http\\Middleware\\HandleHeadRequests::handle(328) > MVC_Controller::{closure}(19) > MVC_Controller::{closure}(311) > Admin\\Http\\Middleware\\ErrorHandling::handle(328) > MVC_Controller::{closure}(25) > MVC_Controller::{closure}(311) > Inertia\\Middleware::handle(328) > Admin\\Http\\Middleware\\HandleBackendInertiaRequests::share(89) > Admin\\Components\\NavigationComponent::init(53) > Admin\\Instance::translate(56) > L10N::t(290) > L10N::translate(638) > L10N::_insertData(590)"] []
[2025-11-11T12:39:58.475117+01:00] Log.ERROR: PDOException: SQLSTATE[42000]: Syntax error or access violation: 1253 COLLATION 'utf8mb4_bin' is not valid for CHARACTER SET 'utf8mb3'  			SELECT 				* 			FROM 				`language_data` 			WHERE 				`active` = 1  AND 				 `file_id` = 251 AND  				`code` COLLATE utf8mb4_bin = 'Laden der Navigation fehlgeschlagen.' 		 ["MVC_Controller::run(64) > MVC_Controller::runMiddleware(229) > MVC_Controller::{closure}(337) > Core\\Middleware\\AbstractInterface::handle(328) > MVC_Controller::{closure}(33) > MVC_Controller::{closure}(311) > Core\\Middleware\\Auth\\BackendAuth::handle(328) > MVC_Controller::{closure}(41) > MVC_Controller::{closure}(311) > Admin\\Http\\Middleware\\HandleHeadRequests::handle(328) > MVC_Controller::{closure}(19) > MVC_Controller::{closure}(311) > Admin\\Http\\Middleware\\ErrorHandling::handle(328) > MVC_Controller::{closure}(25) > MVC_Controller::{closure}(311) > Inertia\\Middleware::handle(328) > Admin\\Http\\Middleware\\HandleBackendInertiaRequests::share(89) > Admin\\Components\\NavigationComponent::init(53) > Admin\\Instance::translate(56) > L10N::t(290) > L10N::translate(638) > L10N::_insertData(590)"] []
